registro	ano	mes	dia	tmed	urmed	vento	tmax	urmax	ventomax	tmin	urmin	chuva
1	1997	1	1	24.11	72.11	2.86	29.88	91.40	9.95	19.37	44.44	0.00
2	1997	1	2	22.00	77.65	2.11	25.07	92.93	9.20	19.86	65.99	0.40
3	1997	1	3	21.76	72.73	2.75	26.61	90.74	8.45	18.53	53.32	0.00
4	1997	1	4	22.72	78.77	0.96	28.88	99.90	7.70	17.17	51.09	0.00
5	1997	1	5	23.42	80.46	1.04	30.33	100.00	7.70	18.53	40.34	0.00
6	1997	1	6	23.26	83.52	0.79	29.90	100.00	6.95	18.35	50.22	0.30
7	1997	1	7	24.78	75.64	0.86	31.29	100.00	8.45	18.25	46.12	2.90
8	1997	1	8	24.24	85.62	0.84	31.74	100.00	9.95	20.08	52.56	12.60
9	1997	1	9	22.79	91.46	0.36	28.42	100.00	3.20	19.85	60.90	1.10
10	1997	1	10	21.83	97.11	0.61	27.37	100.00	14.45	19.46	69.90	25.80
11	1997	1	11	22.52	92.02	0.69	27.78	100.00	6.20	19.94	64.46	6.50
12	1997	1	12	23.30	90.81	0.74	29.04	100.00	9.20	20.54	60.97	10.90
13	1997	1	13	22.89	93.74	1.07	28.39	100.00	7.70	20.47	64.87	2.00
14	1997	1	14	24.29	87.21	0.80	30.45	100.00	8.45	20.60	56.65	1.10
15	1997	1	15	23.92	89.40	0.82	30.69	100.00	7.70	20.77	54.64	0.40
16	1997	1	16	23.87	86.35	1.24	28.34	100.00	8.45	20.88	60.57	0.10
17	1997	1	17	23.00	87.08	1.51	26.91	99.21	9.20	20.17	69.71	5.80
18	1997	1	18	23.76	76.86	1.30	29.37	100.00	6.95	17.14	52.90	0.00
19	1997	1	19	23.76	90.00	0.65	29.72	100.00	9.20	20.33	63.04	19.20
20	1997	1	20	23.48	92.54	0.87	30.23	100.00	9.20	20.14	59.36	30.30
21	1997	1	21	23.85	90.07	0.63	29.35	100.00	6.95	20.70	60.70	1.00
22	1997	1	22	23.60	88.63	0.96	29.85	100.00	8.45	20.57	55.72	19.40
